département;Ville;longitude;Latitude
1;OZAN;4.91667;46.3833
1;CORMORANCHE-SUR-SAONE;4.83333;46.2333
1;PLAGNE;5.73333;46.1833
1;TOSSIAT;5.31667;46.1333
1;POUILLAT;5.43333;46.3333
1;TORCIEU;5.4;45.9167
1;REPLONGES;4.88333;46.3
1;CORCELLES;5.58333;46.0333
1;PERON;5.93333;46.2
1;RELEVANT;4.95;46.0833
1;CHAVEYRIAT;5.06667;46.1833
1;VAUX-EN-BUGEY;5.35;45.9167
1;MAILLAT;5.55;46.1333
1;FARAMANS;5.11667;45.9
1;BEON;5.75;45.8333
1;SAINT-BERNARD;4.73723;45.945
1;ROSSILLON;5.6;45.8333
1;PONT-D'AIN;5.33333;46.05
1;NANTUA;5.61667;46.15
1;CHAVANNES-SUR-REYSSOUZE;5;46.4333
1;NEUVILLE-LES-DAMES;5;46.1667
1;FLAXIEU;5.73333;45.8167
1;HOTONNES;5.68333;46
1;SAINT-SORLIN-EN-BUGEY;5.36667;45.8833
1;SONGIEU;5.7;45.9667
1;VIRIEU-LE-PETIT;5.71667;45.9
1;SAINT-DENIS-EN-BUGEY;5.33333;45.95
1;CHARNOZ-SUR-AIN;5.21667;45.8667
1;CHAZEY-SUR-AIN;5.25;45.9
1;MARCHAMP;5.55;45.7833
1;CULOZ;5.78333;45.85
1;MANTENAY-MONTLIN;5.08333;46.4167
1;MARBOZ;5.25;46.3333
1;FOISSIAT;5.18333;46.3667
1;TREFFORT-CUISIAT;5.36834;46.2714
1;IZIEU;5.63333;45.65
1;SAINT-ETIENNE-DU-BOIS;5.28333;46.2833
1;HAUTEVILLE-LOMPNES;5.6;45.9667
1;SAINT-TRIVIER-SUR-MOIGNANS;4.9;46.0667
1;PEYRIAT;5.51667;46.15
1;EVOSGES;5.5;45.9583
1;PONCIN;5.4;46.0833
1;CRANS;5.21667;45.9667
1;MONTREAL-LA-CLUSE;5.57084;46.1867
1;CLEYZIEU;5.43333;45.9
1;LOMPNIEU;5.65;45.9667
1;VILLEREVERSURE;5.38333;46.1833
1;SAINT-MARTIN-DU-MONT;5.33333;46.1
1;SAINT-GENIS-POUILLY;6.01667;46.25
1;BOLOZON;5.48333;46.2
1;CONFRANCON;5.06667;46.2667
1;LOCHIEU;5.71667;45.9333
1;CHANOZ-CHATENAY;5.03333;46.1833
1;VILLEBOIS;5.43333;45.85
1;CEIGNES;5.5;46.1167
1;SAINT-DIDIER-SUR-CHALARONNE;4.81667;46.1667
1;REVONNAS;5.33333;46.1667
1;BOURG-SAINT-CHRISTOPHE;5.16667;45.8833
1;CONDEISSIAT;5.08333;46.1667
1;PIRAJOUX;5.3;46.3833
1;CHALAMONT;5.16667;46
1;LE PLANTAY;5.08333;46.0167
1;VERSAILLEUX;5.1;45.9833
1;MONTAGNAT;5.28333;46.1667
1;VIEU;5.68333;45.9
1;SAINT-ANDRE-DE-CORCY;4.95;45.9167
1;BRESSOLLES;5.1;45.8667
1;PERONNAS;5.2;46.1833
1;COLOMIEU;5.61667;45.7333
1;MONTHIEUX;4.93333;45.95
1;SAINT-JEAN-SUR-REYSSOUZE;5.06667;46.4
1;GARNERANS;4.83333;46.2
1;MONTREVEL-EN-BRESSE;5.13333;46.3333
1;CONAND;5.46667;45.8833
1;CHALLES-LA-MONTAGNE;5.46667;46.1333
1;MOGNENEINS;4.81667;46.1333
1;THOISSEY;4.8;46.1667
1;CHALEINS;4.8;46.0333
1;NEUVILLE-SUR-AIN;5.36667;46.0833
1;THIL;5.01667;45.8167
1;JUJURIEUX;5.41667;46.0333
1;ONCIEU;5.46667;45.95
1;LURCY;4.76667;46.0667
1;BALAN;5.1;45.8333
1;AMBUTRIX;5.33333;45.9333
1;SAINTE-CROIX;5.05195;45.8942
1;BLYES;5.25;45.85
1;CONZIEU;5.6;45.7333
1;NIEVROZ;5.06667;45.8333
1;NURIEUX-VOLOGNAT;5.52667;46.1856
1;AMBLEON;5.6;45.75
1;SAINT-MAURICE-DE-GOURDANS;5.2;45.8167
1;CHEZERY-FORENS;5.88333;46.2167
1;SAULT-BRENAZ;5.41667;45.85
1;MURS-ET-GELIGNIEUX;5.66667;45.6333
1;LE PETIT-ABERGEMENT;5.65;46.0333
1;CORMOZ;5.23333;46.45
1;SAINT-MARTIN-DE-BAVEL;5.68333;45.85
1;SAINT-TRIVIER-DE-COURTES;5.08333;46.4667
1;BOYEUX-SAINT-JEROME;5.46667;46.0333
1;CHATEAU-GAILLARD;5.3;45.9667
1;PREMEYZEL;5.65;45.6833
1;ARANDAS;5.48333;45.9
1;CHATENAY;5.2;46.0333
